rd_item_id,reading_group,source_id,chapter,pages,reading_notes,optional,rd_break_before
11,11,1,11,,"Agents' behavior often consists of trying to achieve some **objective**.

I have discussed the way that Adam Smith's ""invisible hand of the market"" is a kind of agent-based view of a nation's economy: Each person (agent) has an objective of trying to maximize his or her own wealth (that's the agent's **micromotive**), and in doing so, the population of agents manages unintentionally to maximize the total wealth of the nation (an emergent **macrobehavior** that results from the collective interactions of the agents and their micromotives). 

For Darwin, agents whose objectives are to survive and reproduce under changing environmental conditions achieve emergent phenomena of evolution and speciation.

If we are going to program an agent-based model to simulate such an economy (we saw this in the Sugarscape models), you need to program your agents to try to achieve their objective (maximize their wealth). There are two approaches to this:

1. You could program a sophisticated strategy into your agents.
1. You could program a simple strategy into your agents, but give them the ability to learn from their experience and adapt their behavior according to what they learn. (see section 11.3 for details and an example)

This chapter discusses different kinds of objectives you might have your agents employ. An important concept from decision theory and behavioral economics that might be new to you is **satisficing**. This term, introduced by Herbert Simon[^1] in 1956, refers to making decisions by choosing a ""good-enough"" option when it would take too much time and effort to determine which option is the absolute best. See section 11.4 for details and an example.

[^1]: Herbert Simon (1916--2001) was a fascinating intellectual. Kind of a renaissance scholar, he made major contributions to political science, economics, cognitive psychology, and artificial intelligence. He won the Nobel Prize for economics in 1978. His publications have been cited more than 250,000 times and even fifteen years after his death, they are still cited more than 10,000 times per year.",0,0
12,12,1,12,,"In class, we will discuss the telemarketer model.

For the teams working on the telemarketer model, the steps are:

1. Build the model as described in the ODD.
1. Do the analyses in section 13.3.2
1. Next work on two extensions:
      1. Mergers (section 13.5)
      1. Customers remember (section 13.6)

Before class on Thursday, everyone should read Chapter 13 and the ODD for the telemarketer model and be ready to discuss the model in class.
This will be a chance for the teams working on the model to ask questions.
",0,0
13,13,1,13,,"**Errata for Chapter 13:**

* Section 13.6, p. 180:
  Starting with version 5.0 of NetLogo, the Programming Guide no longer says 
  that putting items on a list using `fput` is better (faster) than putting them 
  on the end of the list using `lput`. 
  NetLogo's lists were reprogrammed to eliminate this difference and improve the 
  speed of adding and accessing list items.
",0,0
14,14,1,14,,"A good example of asynchronous updating is the 
[model of breeding synchrony](/files/models/chapter_23/Ch_23_4_breeding_synchrony.nlogo), 
described in [Jovani and Grimm (2008)](/files/models/chapter_05/Jovani_Grimm_2008_Breeding.pdf) 
and in Chapter 23, which I have posted on the class web site: 
<<%CLASS_URL%>files/models/chapter_23/Ch_23_4_breeding_synchrony.nlogo>

**Errata for Chapter 14:**

* Section 14.2.3, p. 187:
  The `foreach` statement in the example code for executing turtles in size order 
  is not compatible with <%NETLOGO%> versions 6.0 and higher. 
  For version 6.0.2, the statement should be:
  ```
  foreach sort-on [size] turtles
  [
      next-turtle -> ask next-turtle [do-sales]
  ]
  ```

* Section 14.2.5, p. 189:
  This code statement: 
  ```
  while [count patches with [trigger-time > ticks] > 0] 
  ```
  should of course be: 
  ```
  while [any? patches with [trigger-time > ticks] ] 
  ```
  (This Mousetrap model also has a small flaw: it does not represent the 
  possibility that a trap scheduled to be triggered by one ball could be 
  triggered sooner by a different ball that is launched later but has a 
  shorter trajectory.)
",0,0
15,15,1,15,,,0,0
16,16,1,16,,"**Errata for Chapter 16:**

* Section 16.4.1, p. 213:
  The description of social status is not clear: it assumes ages are real 
  numbers instead of integers. It should read:
  
    _The social status of a dog can be (a) ""pup,"" meaning its age is less than one; 
    (b) ""yearling,"" with age of 1 year; (c) ""subordinate,"" meaning age is 2 or 
    greater but the dog is not an alpha; (d) ""alpha,"" the dominant individual of its 
    sex in a pack; and (e) ""disperser,"" meaning the dog currently belongs to a 
    disperser group, not a pack._

* Section 16.4.1, p. 213:
  The first bullet of the description of pack formation should start 
  ""Determine how many times the disperser group meets another...""

* Section 16.4.1, Fig. 16.1:
  Be aware that this figure does not depict the logistic function parameters in 
  the Wild Dog model description. The figure shows a probability of 0.5 when the 
  number of dogs in the population is 67% of carrying capacity (40 out of 60), 
  while the model description says the probability is 0.5 when the population is 
  50% of carrying capacity. 
  To match the model description, the figure's curve should go through X = 30, Y = 0.5.

* Section 16.4.2, p. 217:
  Setting the dog's variable `my-pack` to the pack that created it (via the 
  statement `set my-pack myself`) can cause a subtle error in the pack formation 
  submodel. Disperser groups cannot form a pack with other disperser groups that 
  originated in the same pack. In most people's code, disperser groups use the value 
  of `my-pack` from one of their dogs to determine which pack they came from. 
  The error can occur when two disperser groups came from packs that have since 
  died; when a disperser dog's pack dies, <%NETLOGO%> automatically changes its 
  value of `my-pack` to the keyword `nobody`. 
  Because disperser groups cannot form a new pack with another group that has the 
  same value of `my-pack`, groups whose packs have died cannot combine with each 
  other, even if they really came from two different packs. A solution is to set 
  `my-pack` to the unique `who` number of the dog's pack. 
  Instead of `set my-pack myself`, use `set my-pack [who] of myself`. 
  Use a similar statement when new dogs are created in the reproduction submodel. 
  Then change the statements where a dog's value of `my-pack` is compared to a pack, 
  from (for example): 
  ```
  set pack-members dogs with [my-pack = myself]
  ```
  to: 
  ```
  set pack-members dogs with [my-pack = [who] of myself]
  ```
  And because `my-pack` now contains a who number instead of a pack, one of the 
  last lines in the 
  `create-disperser-group-from` code (page 220) needs to be changed, from: 
  ```
  ask dogs-former-pack [set pack-members ... 
  ```
  to: 
  ```
  ask pack dogs-former-pack [set pack-members ...
  ```
  This error appears to have little effect on model results.

* Section 16.4.3, Figure 16.2:
  The figure should look like 

    ![Corrected Fig. 16.2](<%FIG_16_2%>)
",0,0
17,17,1,17--18,,"You can download [the ODD for the BEFORE beech forest model](/files/models/chapter_18/ch18_before_ODD.pdf), which is described in section 18.3, from the class web site: <<%CLASS_URL%>files/models/chapter_18/ch18_before_ODD.pdf>.

I have also posted [a list of published models](/files/models/chapter_18/ch18_ex1_models_list.pdf) in which observed patterns are important: <<%CLASS_URL%>files/models/chapter_18/ch18_ex1_models_list.pdf>",0,0
18,18,1,19,,"There is an implementation of the [wood hoopoe model](/files/models/chapter_19/ch19_ex2_wood_hoopoes.nlogo), suitable for Exercise 2, on the class web site: <<%CLASS_URL%>files/models/chapter_19/ch19_ex2_wood_hoopoes.nlogo>",0,0
19,19,1,20,,"**Errata for Chapter 20:**

* Section 20.5, p. 264:
  The first bullet of the description of the simple trait for how subordinate adults decide whether to scout should say,
  ""If there are no _older_ subordinate adults"" instead of ""other subordinate adults"".

* Section 20.7, Exercise 2:
  The model equation has parentheses in the wrong place. It should be:
  $$ N_t = N_{t-1} + r N_{t-1} [ 1 - (N_{t-1} / K)] - H_{t-1}$$
",0,0
20,20,1,22,,,0,0
21,21,1,23,,"You can download the [model of breeding synchrony](/files/models/chapter_23/)Ch_23_4_breeding_synchrony.nlogo), described in [Jovani and Grimm (2008)](/files/models/chapter_05/Jovani_Grimm_2008_Breeding.pdf) and in section 23.4, from the class web site: <<%CLASS_URL%>files/models/chapter_23/)Ch_23_4_breeding_synchrony.nlogo>",0,0
22,1,4,,,"You can download ""[Artificial Societies](/files/reading/Tyson_1997_Artificial_Societies.pdf)"" from Brightspace or <<%CLASS_URL%>files/reading/Tyson_1997_Artificial_Societies.pdf>.",0,1
23,22,1,24,,,0,0
