rd_item_id,rd_group,source_id,chapter,pages,item_extra,reading_notes,undergraduate_only,graduate_only,optional,rd_prologue,rd_epilogue,rd_break_before
901,OCEAN_BIOSPHERE_FEEDBACKS,ARCHER,Ch. 7,pp. 81--84,,"
* Why are cloud feedbacks more complicated and uncertain than other feedbacks?
* What is El Ni&ntilde;o and how do feedbacks in the ocean-atmosphere system create the El Ni&ntilde;o/La Ni&ntilde;a cycle? How does this cycle affect the global climate?
* How do feedbacks between climate and the biosphere work?

",0,0,0,0,0,0
902,OCEAN_BIOSPHERE_FEEDBACKS,FEEDBACK_HANDOUT,,,,"
* In the handout, pay close attenton to two different ways of talking about feedbacks:
    If we **force** the climate by changing the brightness of the sun, the bare-rock temperature of the earth adjusts until the average flux of outgoing radiation equals the average flux of incoming radiation. Sometimes we count this adjustment as a negative feedback (called the **Stefan-Boltzmann feedback**) that maintains radiative balance. Other times we consider it to be a simple response to the changing amount of radiation.

    The handout calls this adjustment the Stefan-Boltzmann feedback ($f_0$) and calculates the other feedbacks (water-vapor, lapse-rate, ice-albedo, etc.) as additional feedbacks. This lets us write a straightforward equation for the effect of all the different feedbacks on the earth's temperature, but it is important to be clear that when most people (including most scientists) talk about feedbacks in the climate system, they do not include the Stefan-Boltzmann feedback.

",0,0,0,0,0,0
1000,OCEAN_BREATHES,ARCHER,Ch. 8,pp. 89--97,,"
* Know the different forms carbon takes in the earth system: <%COO%> and organic gases in the atmosphere; dissolved inorganic carbon in the hydrosphere (carbonic acid and related ions: <%CARBONIC_ACID%>, <%BICARBONATE%>, <%CARBONATE%>); solid organic and inorganic matter in the lithosphere (what's the difference between organic and inorganic? What are dominant forms that each takes in the lithosphere?); and living organic carbon in the biosphere.
* What are **oxidation** and **reduction** and how do they affect organic and inorganic carbon?
* Focus intently on Fig. 8.1: get a feel for the size of each reservoir and the magnitude of flux between the different reservoirs. Don't feel that you have to memorize the numbers, but you should have a good feel for which are larger, which are smaller, and a general sense of the range of sizes.
* What are the dominant mechanisms by which carbon moves from one reservoir to another? Which processes are fast and which are slow?
* In Fig. 8-2, why are the annual wiggles in the atmospheric carbon concentration so much bigger in Hawaii than in New Zealand?
* How might feedbacks in the carbon cycle destabilize the global climate?
* Try to get a rough feel for the orbital forcing of climate, but don't stress about the details. We'll dig into this in much more depth when we look at climates of the past, on <%format_date_range_by_topic_id(calendar, c('PALEO_PROXIES','PLEISTOCENE'))%>. The key here is to understand that small variations in the earth's orbit lead to small forcings on the climate, which are dramatically amplified by a positive feedback in the carbon cycle to produce the cycle of ice ages that the earth experienced over the past 2 million years or so.

",0,0,0,0,0,1
1100,ROCKS_BREATHE,ARCHER,Ch. 8,pp. 95--101,,"* Try to get a rough feel for the orbital forcing of climate, but don't stress about the details. We'll dig into this in much more depth when we look at climates of the past, on <%format_date_range_by_topic_id(calendar, c('PALEO_PROXIES','PLEISTOCENE'))%>. The key here is to understand that small variations in the earth's orbit lead to small forcings on the climate, which are dramatically amplified by a positive feedback in the carbon cycle to produce the cycle of ice ages that the earth experienced over the past 2 million years or so.
* Understand the feedback in the sedimentary rock cycle. This is very important, but very slow. It acts as a thermostat for the earth, but takes millions of years to act, so although it will ultimately fix any global warming that people cause, it will do so much too slowly to protect our civilization from the effects of climate change.

  The key to the sedimentary rock part of the carbon cycle is the transformation of **silicate minerals** to **carbonate minerals** through weathering. You should understand how this cycle works, how it changes in response to changing climate in order to act as a thermostat (negative feedback), and why this cycle works well on Earth but not on Mars or Venus. One clue is the graph in Fig. 7.2 on p. 76.
",0,0,0,0,0,0
1200,PERTURBED_CARBON,ARCHER,Ch. 10,,,"Some key points to be sure you understand:

* How is the steady-state concentration of methane in the atmosphere related to the rate of methane emissions?
* What are the largest natural and anthropogenic sources of methane? How does anthropogenic methane emission compare to natural emission?
* What are the dominant anthropogenic sources of <%COO%> emissions?
* What do we know about the land as a sink for carbon?
* What is <%COO%> fertilization and how might it affect the role of the land as a carbon sink? What are the potential benefits to plants of higher <%COO%> concentrations and what constraints are there on the extent to which these benefits might be realized in practice?
* Understand the ocean carbon sink. Where, specifically, does the ocean work effectively to remove <%COO%> from the atmosphere and how might this sink be affected by rising <%COO%> levels?
* What is **ocean ventilation**? Why is it important and how fast does it work?
* What is the **thermocline** and why is it important to the ocean carbon sink?
* Why would increasing carbon dioxide in the atmosphere make the oceans become more acidic? How confident can we be of predictions about ocean acidification?
* What is **buffering** and how would it affect ocean acidification?
* What is the biological pump in the oceans? Are there things people might do to speed up the biological pump
* In the big picture, consider how these pieces fit together: how might rising temperatures and increasing drought around the world (two things scientists are very confident will happen as a result of rising greenhouse gas concentrations) affect the various carbon sources and sinks? How might ocean acidification affect the biological pump?

",0,0,0,0,0,0
1300,PALEO_PROXIES,ARCHER,Ch. 11,pp. 135--145,,"* The last hundred years: Focus on two things in particular:

    1. What is the evidence that the planet has warmed significantly in the last century?
    1. What is the evidence that human emissions of greenhouse gases are responsible?

* The last thousand years: This gets into some very tricky and controversial material that was central to the infamous ""climategate"" scandal in 2009. I will not spend a huge amount of time on this, but I will attempt to explain in class what the controversy was about and why it isn't nearly as big a deal as the media have made it out to be.

    Some things to understand about the past millennium are:

    * What is a **proxy** for ancient temperatures? What are examples of commonly used proxies?
    * What problems do scientists face trying to get past temperatures from proxies?
    * What were the **Medieval Warm Period** and the **Little Ice Age**? Roughly when did they happen? What are the big questions scientists have about them?
",0,0,0,0,0,0
1400,PLEISTOCENE,,,,,"Focus on the Pleistocene Ice Ages, which extended from roughly 2.75 million years ago (different scientists attribute different dates to the exact beginning of the Pleistocene) to about 10,000 years ago when our current warm period, the Holocene, began when the glaciers retreated for the last time.

We have two principal questions about the Pleistocene: How do we know what climate was like then? And how do we know what caused the cycle of ice ages?

* Pay particular attention to the way oxygen isotopes in samples of ice can be used to tell the temperature hundreds of thousands of years ago and the way oxygen isotopes in sediments at the bottom of the ocean can tell us about the amount of ice in the glaciers around the world, but both are useful.
* Recall the discussion of carbon dioxide feedbacks on p. 84. This is crucial.
* What kinds of instabilities did we see in the climates of the Pleistocene? Are those instabilities relevant to questions of how the climate will change as we increase the atmospheric greenhouse gas levels over the coming century?

",0,0,0,1,0,0
1401,PLEISTOCENE,ARCHER,Ch. 7,p. 84,"(You already read this, but please review it again)",,0,0,0,0,0,0
1402,PLEISTOCENE,ARCHER,Ch. 8,pp. 93--97,"(You already read this, but please review it again)",,0,0,0,0,0,0
1403,PLEISTOCENE,ARCHER,Ch. 11,pp. 147--149,,,0,0,0,0,0,0
1404,PLEISTOCENE,ISOTOPE_HANDOUT,,,(concentrate on the sections about temperature and sea-level),,0,0,0,0,0,0
1500,CLIMATE_REVIEW,,,,,Take time to review the reading from the last week (Chapters 10 and 11 and the handout on isotopes). Come to class with questions about the carbon cycle and past climates.,0,0,0,1,0,0
1600,CLIMATE_MODELS,NORDHAUS,Ch. 3--4,,,"Chapter 3 treats global warming as a scientific consequence of an economic problem. As you read, consider the following questions. Some have clear answers
while others are beyond the knowledge of experts and I ask them to challenge you to think about hard problems.
On p. 30, Nordhaus describes three components that drive <%COO%> emissions: population, per-capita GDP, and the carbon intensity of the economy. A mathematical expression for this relationship is known as the **Kaya identity**, and we will study this in great depth on <%format_date_range_by_topic_id(calendar, c(""KAYA_IDENTITY"",
""BOTTOM_UP_DECARBONIZATION"", ""TOP_DOWN_DECARBONIZATION""), TRUE)%> and in the lab project on decarbonizing the energy supply.

* Why don't free markets manage greenhouse gas emissions well?
* Are <%COO%> emissions going up or down? Why?
* What is carbon intensity? Is it going up or down in the US? Why?
* When Nordhaus writes about models for predicting future climate change, he distinguishes between **predictions** and
    **projections**. What is the difference and why is it important?
* Table 1 on p. 31 shows two projections of future <%COO%> emissions. Why are they different? How can we tell which is a better prediction?
* What is an **integrated assessment model** (**IAM**)?
* What are the biggest sources of uncertainty in predicting future <%COO%> emissions?
* How much can we trust models of future climate change? What should we consider when deciding how much to trust a model?


Chapter 4 looks at what we do and don't know about future climate change.

* Pages 37--42 are largely a review of material we studied in much greater depth
in the first few weeks of the term. You can read through it quickly.
* What is the difference between **transient** and **equilibrium** response to <%COO%> emissions? What would we expect to happen
    to the global temperature if everyone around the world completely stopped burning fossil fuels this afternoon?
* Figure 9 shows several different projections for how temperature might change over the rest of this century. What is the biggest reason the
    projections don't all agree with each other?
* Pay close attention to the bullet points on pp. 47--48.
* How does Nordhaus recommend that we think about the uncertainties in predictions about the climate?
* Given these uncertainties, can we trust climate models and can they be useful?

",0,0,0,0,0,0
1701,FUTURE_CLIMATES,NORDHAUS,Ch. 5,,,"One of the big worries with future climate change has to do with tipping points. As you read Ch. 5 of _<%NORDHAUS%>_, you should focus on understanding what tipping points are and what some of the specific tipping points are worry climate experts. Fig. 12 and the accompanying discussion about melting ice sheets is a key example and you should understand it. If we raise the temperature and a large fraction of the Greenland ice sheet melts, will reducing the temperature cause it to eventually grow back to its original size? Why or why not?",0,0,0,0,0,0
1702,FUTURE_CLIMATES,ARCHER,Ch. 12,pp. 153--164,,"Chapter 12 of _<%MEDIUM_ARCHER%>_ presents a lot more detail about **abrupt climate change** (tipping points), melting ice sheets, and sea-level rise. The earlier part of the chapter also discusses the phenomenon of **global weirding**, in which the weather becomes less and less predictable as the global temperature rises. Indeed, recent scientific studies confirm predictions made years ago that global warming would lead to both increased drought and increased flooding. How is this possible?
",0,0,0,0,0,0
1800,REVIEW_FOR_MIDTERM,,,,,We will use today to catch up and review for the midterm exam. Bring your questions.,0,0,0,1,0,0
1900,MIDTERM_EXAM,,,,,"The midterm exam will be a mixture of about 40% multiple-choice questions and 60% free-response short-answer questions.
It will cover all the reading through <%format_class_day_date(filter(calendar, class == this_class_num - 3)$date, TRUE, FALSE)%>.

I will provide a sheet with the important numbers (such as the Stefan-Boltzmann constant, the lapse rate of the atmosphere, 
the solar constant, and so forth), and the important equations (such as the Stefan-Boltzmann law, the barometric law, 
and the chemical reactions that control carbon-dioxide buffering in the oceans).

Remember to bring a calculator, \#2 pencils, and an eraser.",0,0,0,1,0,0
2000,UNCERTAINTY,,,,,"This is a good place for us to reflect on what we do and don't know about the science of climate change. As we review the science we have studied so far, think about the contrasting views Nordhaus and Pielke present in _<%MEDIUM_NORDHAUS%>_ and _<%MEDIUM_PIELKE%>_ about what we do and don't know and whether people should be skeptical of scientists about global warming. In particular, focus on:

* What is **scientific consensus**, is there consensus on global warming, and should we trust it? Where do Nordhaus and Pielke agree and where do they disagree about this?
* How should we think about contrarians or skeptics who disagree with the consensus?
* How should we think about scientific uncertainty? Where do Nordhaus and Pielke agree and where do they disagree about this?
* Can we make policy when there is still disagreement and uncertainty about climate science? How do Nordhaus and Pielke feel about this?

",0,0,0,1,0,0
2001,UNCERTAINTY,ARCHER,Ch. 12,pp. 164--166,,,0,0,0,0,0,0
2002,UNCERTAINTY,NORDHAUS,Ch. 24,,,,0,0,0,0,0,0
2003,UNCERTAINTY,PIELKE,Ch. 1,pp. 1--24,,,0,0,0,0,0,0
2100,CLIMATE_IMAPACTS_1,NORDHAUS,6--9,,,"This reading assignment covers many pages, but the material is descriptive, not mathematical.
What I am looking for you to get out of this is a sense of the different kinds of impacts that climate change might have on our lives and the lives of people around the planet.

* Pay particular attention to the distinction Nordhaus draws between **managed**, **unmanaged**, and **unmanageable** systems.
* Also pay attention to the discussions of **adaptation** and **mitigation**.

    * **Mitigating factors** mean aspects of climate change that may be 
      beneficial and mitigate the damage caused by the harmful aspects. 
      This can be confusing because in the context of climate policy 
      **mitigation** usually means reducing the amount of climate change 
      (e.g., by reducing greenhouse gas emissions), whereas **mitigating factors** 
      are things that reduce the impact that a given amount of climate change 
      will have on people's lives.
      
    * **Adaptation** means changes people make in the way they live and the 
      kinds of economic activities they pursue in order to adapt to living in a 
      different climate.

      Adaptation and mitigating factors are important because they show us that 
      there can be more to climate change policy than just reducing greenhouse 
      gas emissions.
      Again, to point out how confusing this terminology can be, 
      _mitigating factors_ (things that reduce the impact of climate change on 
      people's lives) show that there is more to climate policy than 
      _mitigation_ (reducing greenhouse gas emissions).

* In the three chapters on details (7--9), try to get a feel for the following questions:

    1. How severe are the threats likely to be to human well-being?
    1. Are certain groups of people especially vulnerable?
    1. What kinds of mitigating factors might reduce the impact of climate change?
    1. What kinds of adaptations might make it easier to live with climate change?

* In the chapter on farming, pay attention to the discussion of productivity growth in the worlds' economies (basically this is the growth of $g$, the per-capita GDP, in the Kaya identity, which we read about on p. 30 of Ch. 3, and which we'll study in greater detail when we look at decarbonizing the world's energy supply on Oct. 15--22.). How does growing productivity affect the way we look at climate change?
* In the chapter on farming, why is figure 15 important to the discussion of adaptation and mitigation?
* In the chapter on health impacts, don't try to get every detail but do try to get a sense of what the biggest climate related threats to health are likely to be and what kinds of adaptive things people could do to fight them as temperatures rise.
* In the chapter on the oceans, there are two distinct threats: sea-level rise and ocean acidification. Get a feel for how each affects people's lives and what adaptations might be possible.
",0,0,0,0,0,1
2200,CLIMATE_IMAPACTS_2,NORDHAUS,10-12,,,"Mostly, skim chapters 10--11 and focus on reading chapter 12 carefully.

* What sectors of the economy are most vulnerable to climate change?
* What parts of the world are most vulnerable?
* Think about Nordhaus's distinction between managed and unmanaged systems: Does management affect vulnerability to climate change?
* How has the world's economy changed in the last 60 years or so? Which sectors have become more important and which have become less important? What does that imply as we look ahead to the impacts of climate change 100 years from now?
* How do economists estimate the damage climate change might cause to the world economy? How certain are they about these estimates? What are the biggest sources of uncertainty?
* The section on ""A Risk Premium"" is especialy important. Understand what a risk premium is and how this figures into Nordhaus's thoughts about policy.

",0,0,0,0,0,0
2301,POLICY_MYTHS,PIELKE,Ch. 2,,,"In _<%MEDIUM_PIELKE%>_, Pielke addresses three what he calls three myths of climate policy:

1. We lack political will to do anything about climate change
1. We must trade off the economy for the environment
1. We have all the technology we need to solve the problem

With respect to myth #2, consider this quotation, from a story on National Public Radio on October 2, 2010:

>  Republican pollster Frank Luntz says it's clear why the politics of climate change are so different [in 2010] than they were in 2008. 
> ""_What has changed is that the American economy went to hell. And when you ask voters are they more concerned about destroying 
> their environment over the next 100 years or rehabilitating their economy over the next 100 weeks, they'll choose the economy over 
> the environment any day_,"" Luntz says.

As you read Chapter 2 of _<%MEDIUM_PIELKE%>_, critically assess Luntz's arguments. Pay special attention to the ""**Iron Law**,"" described on pp. 46--50. This will be a crucial piece of Pielke's analysis throughout the book.

On pp. 51--58 of _<%MEDIUM_PIELKE%>_, Pielke writes about the idea of ""**stabilization wedges**,"" introduced by Robert Socolow and Stephen Pacala, in the context of dismissing myth #3. The stabilization wedge concept is very important in climate policy and we will discuss them further later in the semester, so read these pages reasonably carefully and keep in mind that Pielke's dismissal is just one opinion. A number of scholars and policy experts agree with Pielke, but many disagree as well. This is a topic on which it's important to think for yourself.

After dismissing many myths, Pielke offers his own ideas for how to approach climate policy.
",0,0,0,0,0,0
2302,POLICY_MYTHS,NORDHAUS,Ch. 25,,,"In Chapter 25 of _<%MEDIUM_NORDHAUS%>_, Nordhaus discusses what we know about public opinion on climate change. Nordhaus shows that in the past decade, we have seen an increasing divide between what scientists think about the facts of climate change and what the public thinks, that this widening gap has proceeded together with a growing ideological divide between liberals and Democrats on one side and conservatives and Republicans on the other. He observes on p. 311 that ""Climate change is an area where the political leaders have led public opinion.""

Nordhaus then proposes a way for small-government political conservatives, such as himself, to close the divide between the parties and between scientists and the public.
",0,0,0,0,0,0
2399,POLICY_MYTHS,,,,,"As you read both Nordhaus's and Pielke's analyses and recommendations, ask yourself what you find it persuasive, what you agree with, and what you disagree with. This is a time to start thinking both about what kinds of climate policies you would want to pursue and how you would critically analyze them for their strengths and weaknesses.
",0,0,0,0,1,0
2400,KAYA_IDENTITY,,,,,"In both chapters, the focus is on what it would take to reduce <%COO%> emissions around the world.

Key concepts that you should understand are:

* We will be discussing national and global energy consumption in terms of **quads** (see p. 63 in Climate Fix). You should have a good feeling for how much a quad is and how many quads the US consumes.
* The **Kaya Identity** and the factors that go into it (p. 71 of _<%MEDIUM_PIELKE%>_; you might also go back and quickly review pp. 19--23 of _<%MEDIUM_NORDHAUS%>_, which we read for Aug. 28).:

    * Total <%COO%> emissions ($F$)
    * Population ($P$)
    * Per-capita GDP ($g$)
    * Energy intensity of the economy ($e$)
    * Carbon intensity of the energy supply ($f$)

* How would you make sense of the fact that the U.S. has a much greater $F$ than India and a slightly smaller $F$ than China, but a much smaller $e$ and $f$ than either India or China?
* What trends have we seen over the past several decades in the energy intensity of the economy and the carbon intensity of the energy supply? (pp. 74--79 of _<%MEDIUM_PIELKE%>_ and Fig. 3 on p. 22 of _<%MEDIUM_NORDHAUS%>_)
* What is **primary energy consumption** and how does it differ from other kinds of energy consumption?
* Why does Pielke argue that **energy dependence** leads to **energy insecurity**?
* In _<%MEDIUM_NORDHAUS%>_, look at Figure 23 and the table of carbon emissions on p. 159. How do different fuels compare in terms of carbon emissions?
* In _<%MEDIUM_NORDHAUS%>_, look at Table 6 and get a sense of what activities cause the most <%COO%> emissions.
* What does the Kaya Identity and the material from _<%MEDIUM_NORDHAUS%>_ suggest for where we should focus in our economy to reduce <%COO%> emissions?

",0,0,0,1,0,0
2401,KAYA_IDENTITY,PIELKE,Ch. 3,,,,0,0,0,0,0,0
2402,KAYA_IDENTITY,NORDHAUS,Ch. 14,,,,0,0,0,0,0,0
2501,BOTTOM_UP_DECARBONIZATION,PIELKE,Ch. 4,,,"We will spend two days on this chapter. It is very involved and the technical analysis both of this chapter and of Jacobson's proposal for converting the US to 100% wind, water, and solar power will be the focus of a project in the lab. You will follow Pielke's methods to analyze the prospects for the US, China, and a third country to convert a large part of their economies to clean energy by 2050.
",0,0,0,0,0,0
2502,BOTTOM_UP_DECARBONIZATION,PIELKE_UK,,,,,0,0,1,0,0,0
